,Title,Earliest Semester Takeable,Prereqs,Coreqs,Exclusions,Notes,Semesters Available,Raw Prereqs
CSC495H1,Computer Science Project,"(2, 'Fall')",CSC494H1,,,Prereq: 1.5 credits of 300+ level CSC courses,"Fall,Winter",CSC494H1. 1.5 credits of 300+ level CSC courses.
ENV237H1,Physics of the Changing Environment A,"(2, 'Winter')",(CHM136H1(unaccounted)/CHM138H1(unaccounted)/CHM135H1(unaccounted)/CHM139H1(unaccounted)/CHM151Y1(unaccounted)),,"ENV238H1,PHY131H1,PHY132H1,PHY151H1,PHY152H1",,Winter,"MAT135H1/MAT136H1/MAT137Y1/MAT157Y1/JMB170Y1, CHM136H1/CHM138H1/CHM135H1/CHM139H1/CHM151Y1"
ENV238H1,Physics of the Changing Environment B,"(2, 'Winter')",(CHM136H1(unaccounted)/CHM138H1(unaccounted)/CHM135H1(unaccounted)/CHM139H1(unaccounted)/CHM151Y1(unaccounted)),,ENV237H1,,Winter,"MAT135H1/MAT136H1/MAT137Y1/MAT157Y1/JMB170Y1, CHM136H1/CHM138H1/CHM135H1/CHM139H1/CHM151Y1, PHY131H1/PHY132H1/PHY151H1/PHY152H1"
JPE395H1,Physics of the Earth,"(3, 'Winter')",(MAT235Y1/MAT237Y1/MAT291H1(unaccounted)/AER210H1(unaccounted));(PHY254H1/PHY293H1(unaccounted)/MAT244H1/MAT267H1/MAT290H1(unaccounted)/MAT292H1(unaccounted)),,,,Winter,"PHY132H1/PHY152H1/PHY180H1/MIE100H1, MAT235Y1/MAT237Y1/MAT291H1/AER210H1, PHY254H1/PHY293H1/MAT244H1/MAT267H1/MAT290H1/MAT292H1"
JPE493H1,Seismology,"(4, 'Fall')",JPE395H1/JGA305H1(unaccounted),APM346H1,,,Fall,JPE395H1/JGA305H1
JPH441H1,Physical Science in Contemporary Society,"(3, 'Fall')",PHY224H1/PHY250H1/PHY252H1/PHY254H1/PHY256H1,,,Note: Can take with instructor permission,Fall,"PHY224H1/PHY250H1/PHY252H1/PHY254H1/PHY256H1, or by permission of the instructor."
JSC270H1,Data Science I,"(2, 'Winter')",STA257H1;CSC207H1,STA261H1,,,Winter,"STA257H1, CSC207H1"
JSC370H1,Data Science II,"(3, 'Winter')",JSC270H1;STA261H1;(CSC263H1/CSC265H1);STA302H1;CSC343H1,STA303H1/STA305H1,,,Winter,"JSC270H1, STA261H1, MAT237Y1/ MAT257Y1, CSC263H1/ CSC265H1/ CSC263H5/ CSCB63H3, STA302H1, CSC343H1/ CSC343H5/ CSCC43H3"
MAT133Y1,Calculus and Linear Algebra for Commerce,"(2, 'Fall-Winter')!!",,,,,Fall-Winter!!,High school level calculus
MAT135H1,Calculus I,"(1, 'Winter')",,,"APS162H1,APS163H1,ESC194H1,ESC195H1,MAT186H1,MAT187H1,MAT196H1,MAT197H1",,"Fall!!,Winter",High school level calculus
MAT136H1,Calculus II,"(2, 'Fall')!!",MAT135H1/APS162H1(unaccounted)/ESC194H1(unaccounted)/MAT186H1(unaccounted)/MAT196H1(unaccounted),,"APS163H1,ESC195H1,MAT187H1,MAT197H1",,"Fall!!,Winter!!",MAT135H1/ MAT135H5/ MATA30H3/ MATA31H3/ APS162H1/ ESC194H1/ MAT186H1/ MAT196H1
MAT137Y1,Calculus with Proofs,"(2, 'Fall-Winter')",,,,,Fall-Winter,High school level calculus
MAT138H1,Introduction to Proofs,"(2, 'Fall')",,,"MAT137Y1,MAT157Y1",,Fall,High school level calculus
